Mon Sep 21 17:12:52 2026    /Users/alansynn/Workspace/solweig-light-claude-v5/optimization_v6_continue/evidence/campaign_synthetic/runs/profile_t1024_tile0_0/pstats/profile_r0.pstats

         13696321 function calls (13669123 primitive calls) in 136.120 seconds

   Ordered by: cumulative time
   List reduced from 3389 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  136.123  136.123 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/api.py:153(run_utci_tiles)
        1    0.000    0.000  136.117  136.117 /Users/alansynn/Workspace/solweig-light-claude-v5/optimization_v6_continue/evidence/campaign_synthetic/tools/profile_child.py:188(_in_process_execute)
        2    0.000    0.000  136.117   68.058 /Users/alansynn/Workspace/solweig-light-claude-v5/optimization_v6_continue/evidence/campaign_synthetic/tools/profile_child.py:191(<genexpr>)
        1    0.005    0.005  136.117  136.117 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/pipeline.py:79(run_tile)
        1    0.405    0.405  136.110  136.110 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/pipeline.py:91(_run_tile)
       24    0.609    0.025  119.748    4.989 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/engine.py:1481(Solweig_2022a_calc)
       24    0.001    0.000   37.144    1.548 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_longwave.py:397(Lcyl_v2022a_by_demand)
       24    0.003    0.000   37.137    1.547 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_longwave.py:356(Lcyl_v2022a_primary)
       24    0.782    0.033   37.117    1.547 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_longwave.py:310(define_patch_characteristics_primary)
   116736    0.405    0.000   31.366    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/patch_radiation.py:101(_block)
       14    0.003    0.000   31.223    2.230 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/engine.py:1759(Kside_veg_v2022a)
       14    0.002    0.000   31.220    2.230 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/patch_radiation.py:512(Kside_veg_v2022a)
       14    0.301    0.021   31.204    2.229 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_shortwave.py:126(kside_cylinder_anisotropic)
   116736    0.860    0.000   30.752    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/geometry/visibility_compiled.py:127(decode_block)
   116736   28.693    0.000   28.776    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/geometry/visibility_compiled.py:17(_decode)
       14    0.004    0.000   28.532    2.038 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/engine.py:1740(gvf_2018a)
       14    0.001    0.000   28.528    2.038 /Users/alansynn/Workspace/solweig-light-claude-v5/optimization_v6_continue/evidence/campaign_synthetic/tools/profile_child.py:115(recorder)
       14    0.001    0.000   28.527    2.038 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/gvf_prepared.py:293(prepared_gvf_step)
       14    0.916    0.065   28.280    2.020 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/gvf_prepared.py:204(run_prepared_gvf_step)
    38912   12.283    0.000   20.581    0.001 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/patch_radiation.py:271(_classes)
    98304    0.036    0.000   19.559    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_longwave.py:350(<genexpr>)
     8064   18.477    0.002   18.477    0.002 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/ground_view.py:198(_gather_block_parallel)
   694445   12.485    0.000   14.625    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/engine.py:1710(_operate)
    14336    0.105    0.000   12.839    0.001 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/patch_radiation.py:119(_shortwave_visibility_blocks)
    24576    9.357    0.000    9.391    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_longwave.py:92(_longwave_primary)
       24    0.001    0.000    8.454    0.352 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/pipeline_demand.py:328(lside_veg_v2022a_demanded)
     8064    1.749    0.000    8.435    0.001 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/ground_view.py:502(_postprocess_block)
       24    0.003    0.000    8.381    0.349 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/persistence.py:456(write)
       17    1.035    0.061    8.303    0.488 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/engine.py:1340(Lside_veg_v2022a)
       24    0.008    0.000    7.203    0.300 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/io/rasters.py:66(write)
